Timestamp,Unixtime,Int64time,LapseTime,stateDMA1,voltageSetDMA1,voltageReadDMA1,currentDiameterDMA1,stateDMA2,voltageSetDMA2,voltageReadDMA2,currentDiameterDMA2,TESet,TE1ReadT1,TE1ReadT2,N1cpcCount,N2cpcCount,N1cpcSerial,N2cpcSerial,RH1,RH2
2025-05-20T15:02:37.115,1.747753357115e9,63883436557115,0.118,CLASSIFIER,595.0,251.66261865626893,200.00858321460112,HOLD,25.0,-23.110677690510784,20.13996686377081,73.1116977519989,NaN,NaN,0.0,0.0,0.0,0.0,25.166261865626893,35.21383256148738
2025-05-20T15:02:37.272,1.747753357272e9,63883436557272,0.351,CLASSIFIER,595.0,251.35414602038963,200.00858321460112,HOLD,25.0,-22.576444435344456,20.13996686377081,73.10741117191313,NaN,NaN,0.0,0.0,0.0,0.0,25.135414602038963,35.18076429492112
2025-05-20T15:02:37.375,1.747753357375e9,63883436557375,0.508,CLASSIFIER,595.0,251.79217716333824,200.00858321460112,HOLD,25.0,-22.572743050204735,20.13996686377081,73.10741117191313,NaN,NaN,0.0,0.0,0.0,0.0,25.179217716333824,35.19618792671508
2025-05-20T15:02:37.48,1.74775335748e9,63883436557480,0.612,CLASSIFIER,595.0,250.95559937483358,200.00858321460112,HOLD,25.0,-22.36669927742696,20.13996686377081,73.10741117191313,NaN,NaN,0.0,0.0,0.0,0.0,25.09555993748336,35.20618244011757
2025-05-20T15:02:37.584,1.747753357584e9,63883436557584,0.716,CLASSIFIER,595.0,251.47630118419784,200.00858321460112,HOLD,25.0,-22.010132508967217,20.13996686377081,73.10741117191313,NaN,NaN,0.0,0.0,0.0,0.0,25.147630118419784,35.22666502313996
2025-05-20T15:02:37.693,1.747753357693e9,63883436557693,0.820,CLASSIFIER,595.0,251.595988566919,200.00858321460112,HOLD,25.0,-22.495013962270605,20.13996686377081,73.10741117191313,NaN,NaN,0.0,0.0,0.0,0.0,25.1595988566919,35.133012730887
2025-05-20T15:02:37.8,1.7477533578e9,63883436557800,0.929,CLASSIFIER,595.0,251.381291612347,200.00858321460112,HOLD,25.0,-23.396918141315837,20.13996686377081,73.10741117191313,NaN,NaN,0.0,0.0,0.0,0.0,25.1381291612347,35.228639248009586
2025-05-20T15:02:37.908,1.747753357908e9,63883436557908,1.033,CLASSIFIER,595.0,251.47259951256729,200.00858321460112,HOLD,25.0,-22.14461616904373,20.13996686377081,73.10741117191313,NaN,NaN,0.0,0.0,0.0,0.0,25.14725995125673,35.25072588873854
2025-05-20T15:02:38.015,1.747753358015e9,63883436558015,1.141,CLASSIFIER,595.0,251.72061151181424,200.00858321460112,HOLD,25.0,-23.870695439200063,20.13996686377081,73.10741117191313,NaN,NaN,0.0,0.0,0.0,0.0,25.172061151181424,35.229256193281344
2025-05-20T15:02:38.12,1.74775335812e9,63883436558120,1.249,CLASSIFIER,595.0,250.95930104646413,200.00858321460112,HOLD,25.0,-22.332153016122902,20.13996686377081,73.10741117191313,NaN,NaN,0.0,0.0,0.0,0.0,25.095930104646413,35.237893427085965
2025-05-20T15:02:38.276,1.747753358276e9,63883436558276,1.356,CLASSIFIER,595.0,251.50714844778577,200.00858321460112,HOLD,25.0,-23.26490207133247,20.13996686377081,73.10299104404449,NaN,NaN,0.0,0.0,0.0,0.0,25.150714844778577,35.22617146692255
2025-05-20T15:02:38.381,1.747753358381e9,63883436558381,1.511,CLASSIFIER,595.0,251.65644920355135,200.00858321460112,HOLD,25.0,-23.54250595681151,20.13996686377081,73.10299104404449,NaN,NaN,0.0,0.0,0.0,0.0,25.165644920355135,35.20605905106322
2025-05-20T15:02:38.486,1.747753358486e9,63883436558486,1.617,CLASSIFIER,595.0,251.45779282604508,200.00858321460112,HOLD,25.0,-22.731902611212718,20.13996686377081,73.10299104404449,NaN,NaN,0.0,0.0,0.0,0.0,25.145779282604508,35.23061347287921
2025-05-20T15:02:38.59,1.74775335859e9,63883436558590,1.722,CLASSIFIER,595.0,251.3023226175619,200.00858321460112,HOLD,25.0,-22.196435560999817,20.13996686377081,73.10299104404449,NaN,NaN,0.0,0.0,0.0,0.0,25.13023226175619,35.23123041815097
2025-05-20T15:02:38.701,1.747753358701e9,63883436558701,1.826,CLASSIFIER,595.0,251.50591455724225,200.00858321460112,HOLD,25.0,-22.90216632763986,20.13996686377081,73.10299104404449,NaN,NaN,0.0,0.0,0.0,0.0,25.150591455724225,35.232957864911896
2025-05-20T15:02:38.809,1.747753358809e9,63883436558809,1.936,CLASSIFIER,595.0,251.51825346267742,200.00858321460112,HOLD,25.0,-23.199510933864076,20.13996686377081,73.10299104404449,NaN,NaN,0.0,0.0,0.0,0.0,25.151825346267742,35.15991154473568
2025-05-20T15:02:38.917,1.747753358917e9,63883436558917,2.042,CLASSIFIER,595.0,251.3294682095193,200.00858321460112,HOLD,25.0,-22.94041397408364,20.13996686377081,73.10299104404449,NaN,NaN,0.0,0.0,0.0,0.0,25.13294682095193,35.23591920221634
2025-05-20T15:02:39.024,1.747753359024e9,63883436559024,2.150,CLASSIFIER,595.0,251.4516233733275,200.00858321460112,HOLD,25.0,-22.789890978401672,20.13996686377081,73.10299104404449,NaN,NaN,0.0,0.0,0.0,0.0,25.14516233733275,35.256525174293074
2025-05-20T15:02:39.129,1.747753359129e9,63883436559129,2.257,CLASSIFIER,595.0,251.560205741157,200.00858321460112,HOLD,25.0,-22.52832642852809,20.13996686377081,73.10299104404449,NaN,NaN,0.0,0.0,0.0,0.0,25.1560205741157,35.240854764390406
