Timestamp,Unixtime,Int64time,LapseTime,stateDMA1,voltageSetDMA1,voltageReadDMA1,currentDiameterDMA1,stateDMA2,voltageSetDMA2,voltageReadDMA2,currentDiameterDMA2,TESet,TE1ReadT1,TE1ReadT2,N1cpcCount,N2cpcCount,N1cpcSerial,N2cpcSerial,RH1,RH2
2025-05-08T15:43:30.751,1.746719010751e9,63882402210751,215.134,CLASSIFIER,-128.0,385.4410313844028,79.92641364796921,DOWNSCAN,2729.8960843599607,-2726.831869621037,291.8534409713671,34.54266703224182,NaN,NaN,0.0,1690.1975484138632,1750.0,1457.2,38.54410313844028,21.358105481169787
2025-05-08T15:43:30.86,1.74671901086e9,63882402210860,215.240,CLASSIFIER,-128.0,385.46200752364257,79.92641364796921,DOWNSCAN,2721.68155399834,-2718.8553846449395,291.2331951284773,34.54266703224182,NaN,NaN,0.0,1677.5893643060426,1750.0,1457.2,38.54620075236426,21.279136486384687
2025-05-08T15:43:30.967,1.746719010967e9,63882402210967,215.350,CLASSIFIER,-128.0,385.3053034246159,79.92641364796921,DOWNSCAN,2713.153234839901,-2713.0750548517426,290.5889928783851,34.54266703224182,NaN,NaN,0.0,1614.98351095912,1750.0,1457.2,38.53053034246159,21.34194151504971
2025-05-08T15:43:31.074,1.746719011074e9,63882402211074,215.455,CLASSIFIER,-128.0,385.58169490636374,79.92641364796921,DOWNSCAN,2705.078346294079,-2702.564354849983,289.978792297132,34.54266703224182,NaN,NaN,0.0,1750.5992542238791,1750.0,1457.2,38.558169490636374,21.33330428124509
2025-05-08T15:43:31.18,1.74671901118e9,63882402211180,215.563,CLASSIFIER,-128.0,385.4780481007083,79.92641364796921,DOWNSCAN,2696.793476731895,-2697.1702029063636,289.3524704793979,34.54266703224182,NaN,NaN,0.0,1691.3339448746292,1750.0,1457.2,38.54780481007083,21.340584235451843
2025-05-08T15:43:31.288,1.746719011288e9,63882402211288,215.670,CLASSIFIER,-128.0,385.37316740450933,79.92641364796921,DOWNSCAN,2688.620327056185,-2688.244929539451,288.7343412875731,34.54266703224182,NaN,NaN,0.0,1669.8399247521015,1750.0,1457.2,38.53731674045093,21.367976605517924
2025-05-08T15:43:31.465,1.746719011465e9,63882402211465,215.776,CLASSIFIER,-128.0,385.00793580362824,79.92641364796921,DOWNSCAN,2680.4683638190145,-2679.82674593668,288.11756223775546,34.54685379600525,NaN,NaN,0.0,2753.2493629685296,1750.0,1459.4,38.500793580362824,21.284195437613107
2025-05-08T15:43:31.571,1.746719011571e9,63882402211571,215.955,CLASSIFIER,-128.0,385.69027727419325,79.92641364796921,DOWNSCAN,2666.8968637537428,-2672.691709182345,287.0901768571928,34.54685379600525,NaN,NaN,0.0,994.3135703087171,1750.0,1459.4,38.569027727419325,21.318991150940292
2025-05-08T15:43:31.676,1.746719011676e9,63882402211676,216.060,CLASSIFIER,-128.0,385.73346344321635,79.92641364796921,DOWNSCAN,2658.8780579012287,-2658.3661148965803,286.482806384571,34.54685379600525,NaN,NaN,0.0,1683.1325872948098,1750.0,1459.4,38.573346344321635,21.355761089137104
2025-05-08T15:43:31.781,1.746719011781e9,63882402211781,216.166,CLASSIFIER,-128.0,385.77664961223945,79.92641364796921,DOWNSCAN,2650.892250687662,-2650.2477434901266,285.8776872404687,34.54685379600525,NaN,NaN,0.0,1667.9740138921127,1750.0,1459.4,38.577664961223945,21.361683763745987
