Timestamp,Unixtime,Int64time,LapseTime,stateDMA1,voltageSetDMA1,voltageReadDMA1,currentDiameterDMA1,stateDMA2,voltageSetDMA2,voltageReadDMA2,currentDiameterDMA2,TESet,TE1ReadT1,TE1ReadT2,N1cpcCount,N2cpcCount,N1cpcSerial,N2cpcSerial,RH1,RH2
2025-05-08T15:18:06.895,1.746717486895e9,63882400686895,211.496,CLASSIFIER,-128.0,382.4217012244162,79.92641364796921,DOWNSCAN,3027.8067027481584,-3023.8075711263264,314.1922408796304,28.445167311668396,NaN,NaN,0.0,1348.640410058062,1600.0,1261.6,38.24217012244162,20.387403790584813
2025-05-08T15:18:07.067,1.746717487067e9,63882400687067,211.602,CLASSIFIER,-128.0,382.99299254606467,79.92641364796921,DOWNSCAN,3018.643752716243,-3015.1574340547995,313.50933036146563,28.449281700134282,NaN,NaN,0.0,2231.5922950526824,1560.0,1238.7,38.29929925460647,20.327930266387284
2025-05-08T15:18:07.173,1.746717487173e9,63882400687173,211.775,CLASSIFIER,-128.0,382.7721261387751,79.92641364796921,DOWNSCAN,3003.880656308627,-3007.3549141802687,312.4085243215459,28.449281700134282,NaN,NaN,0.0,871.8246592010385,1560.0,1238.7,38.27721261387751,20.368772043377703
2025-05-08T15:18:07.279,1.746717487279e9,63882400687279,211.880,CLASSIFIER,-128.0,382.41059620952456,79.92641364796921,DOWNSCAN,2994.868122941292,-2990.4691951728637,311.7361898452387,28.449281700134282,NaN,NaN,0.0,1391.204526563883,1560.0,1238.7,38.241059620952456,20.37420116176918
2025-05-08T15:18:07.386,1.746717487386e9,63882400687386,211.986,CLASSIFIER,-128.0,382.7425127657307,79.92641364796921,DOWNSCAN,2985.8555154152086,-2982.70739053487,311.06360714589596,28.449281700134282,NaN,NaN,0.0,1423.8486788835264,1560.0,1238.7,38.27425127657307,20.38925462640009
2025-05-08T15:18:07.497,1.746717487497e9,63882400687497,212.093,CLASSIFIER,-128.0,382.8794746160611,79.92641364796921,DOWNSCAN,2976.7835992875316,-2973.4971105121986,310.3863516785157,28.449281700134282,NaN,NaN,0.0,1436.924494205376,1560.0,1238.7,38.28794746160611,20.401840309943964
2025-05-08T15:18:07.605,1.746717487605e9,63882400687605,212.205,CLASSIFIER,-128.0,382.74127887518716,79.92641364796921,DOWNSCAN,2967.3290455901706,-2965.985766268659,309.6802654965554,28.449281700134282,NaN,NaN,0.0,1260.393202642684,1560.0,1238.7,38.274127887518716,20.271171301385493
2025-05-08T15:18:07.712,1.746717487712e9,63882400687712,212.310,CLASSIFIER,-128.0,383.10034102335067,79.92641364796921,DOWNSCAN,2958.403850532973,-2955.1567471448834,309.0134628041274,28.449281700134282,NaN,NaN,0.0,1399.0589296374574,1560.0,1238.7,38.31003410233507,20.38567634382389
2025-05-08T15:18:07.818,1.746717487818e9,63882400687818,212.418,CLASSIFIER,-128.0,382.8671357106259,79.92641364796921,DOWNSCAN,2949.350184512676,-2947.1950677093446,308.3368121067315,28.449281700134282,NaN,NaN,0.0,1460.0028596613818,1560.0,1238.7,38.28671357106259,20.37284388217131
2025-05-08T15:18:07.925,1.746717487925e9,63882400687925,212.526,CLASSIFIER,-128.0,382.3439661201746,79.92641364796921,DOWNSCAN,2940.346496362124,-2938.0884264705855,307.6636453191682,28.449281700134282,NaN,NaN,0.0,1406.3598039778963,1560.0,1238.7,38.23439661201746,20.343970843453008
2025-05-08T15:18:08.101,1.746717488101e9,63882400688101,212.632,CLASSIFIER,-128.0,382.8079089645371,79.92641364796921,DOWNSCAN,2931.455983497637,-2927.30259017344,306.99869255970054,28.45340970420837,NaN,NaN,0.0,2347.7581529288714,1600.0,1247.2,38.28079089645371,20.36704459661678
2025-05-08T15:18:08.206,1.746717488206e9,63882400688206,212.808,CLASSIFIER,-128.0,382.9966942176952,79.92641364796921,DOWNSCAN,2916.793963699367,-2920.0392387342617,305.9015265840631,28.45340970420837,NaN,NaN,0.0,866.0580345607309,1600.0,1247.2,38.29966942176952,20.28684171128816
2025-05-08T15:18:08.312,1.746717488312e9,63882400688312,212.914,CLASSIFIER,-128.0,382.75485167116585,79.92641364796921,DOWNSCAN,2908.040900477327,-2905.3188300335933,305.24620640607645,28.45340970420837,NaN,NaN,0.0,1406.5437587030042,1600.0,1247.2,38.275485167116585,20.39073529505231
2025-05-08T15:18:08.417,1.746717488417e9,63882400688417,213.019,CLASSIFIER,-128.0,383.0040975609563,79.92641364796921,DOWNSCAN,2899.3248287241872,-2897.358384393101,304.59341282026105,28.45340970420837,NaN,NaN,0.0,1347.1093842674761,1600.0,1247.2,38.30040975609563,20.366551040399372
2025-05-08T15:18:08.528,1.746717488528e9,63882400688528,213.125,CLASSIFIER,-128.0,382.91155577019254,79.92641364796921,DOWNSCAN,2890.6121628645687,-2889.1524135383406,303.94063048968457,28.45340970420837,NaN,NaN,0.0,1491.1454072486365,1600.0,1247.2,38.29115557701925,20.373707605551772
2025-05-08T15:18:08.635,1.746717488635e9,63882400688635,213.235,CLASSIFIER,-128.0,382.83999011866854,79.92641364796921,DOWNSCAN,2881.54834356373,-2880.840336309575,303.26127808414236,28.45340970420837,NaN,NaN,0.0,1363.7116934297437,1600.0,1247.2,38.283999011866854,20.37284388217131
2025-05-08T15:18:08.743,1.746717488743e9,63882400688743,213.341,CLASSIFIER,-128.0,382.71906884540385,79.92641364796921,DOWNSCAN,2872.9035063756087,-2870.092747658873,302.61308010980116,28.45340970420837,NaN,NaN,0.0,1442.4729761787466,1600.0,1247.2,38.271906884540385,20.264014736233094
2025-05-08T15:18:08.849,1.746717488849e9,63882400688849,213.449,CLASSIFIER,-128.0,382.8436917902991,79.92641364796921,DOWNSCAN,2864.0662463140734,-2861.938596196069,301.9502009211915,28.45340970420837,NaN,NaN,0.0,1385.9878055056195,1600.0,1247.2,38.28436917902991,20.36062836579049
2025-05-08T15:18:08.955,1.746717488955e9,63882400688955,213.556,CLASSIFIER,-128.0,382.92636245671474,79.92641364796921,DOWNSCAN,2855.339808864474,-2852.938061331315,301.29538163442066,28.45340970420837,NaN,NaN,0.0,1344.7198927496863,1600.0,1247.2,38.292636245671474,20.37358421649742
2025-05-08T15:18:09.129,1.746717489129e9,63882400689129,213.662,CLASSIFIER,-128.0,382.9584436108462,79.92641364796921,DOWNSCAN,2846.743767767415,-2844.280521489509,300.650099785074,28.457527812004084,NaN,NaN,0.0,2314.097465609205,1520.0,1243.1,38.29584436108462,20.35211452104022
2025-05-08T15:18:09.234,1.746717489234e9,63882400689234,213.837,CLASSIFIER,-128.0,383.0312431529137,79.92641364796921,DOWNSCAN,2832.6309048105727,-2837.592118542034,299.59014821306323,28.457527812004084,NaN,NaN,0.0,838.5503564338673,1520.0,1243.1,38.30312431529137,20.381727894084634
2025-05-08T15:18:09.34,1.74671748934e9,63882400689340,213.942,CLASSIFIER,-128.0,382.9966942176952,79.92641364796921,DOWNSCAN,2824.1385350335063,-2823.628026204915,298.9520017202464,28.457527812004084,NaN,NaN,0.0,1436.3340548680796,1520.0,1243.1,38.29966942176952,20.307324294310547
2025-05-08T15:18:09.446,1.746717489446e9,63882400689446,214.048,CLASSIFIER,-128.0,382.6006153532262,79.92641364796921,DOWNSCAN,2815.674415836843,-2814.5941788739037,298.3157338479024,28.457527812004084,NaN,NaN,0.0,1399.8210829843283,1520.0,1243.1,38.26006153532262,20.359517864301324
2025-05-08T15:18:09.556,1.746717489556e9,63882400689556,214.153,CLASSIFIER,-128.0,383.0744293219368,79.92641364796921,DOWNSCAN,2807.213296558141,-2803.7639259550815,297.67944617914833,28.457527812004084,NaN,NaN,0.0,1499.6885683423036,1520.0,1243.1,38.30744293219368,20.37284388217131
2025-05-08T15:18:09.663,1.746717489663e9,63882400689663,214.264,CLASSIFIER,-128.0,382.71289939268627,79.92641364796921,DOWNSCAN,2798.40539937018,-2795.570293050787,297.016818038533,28.457527812004084,NaN,NaN,0.0,1375.0747252784538,1520.0,1243.1,38.27128993926863,20.395670857226378
2025-05-08T15:18:09.771,1.746717489771e9,63882400689771,214.370,CLASSIFIER,-128.0,382.7869328252973,79.92641364796921,DOWNSCAN,2789.979472514467,-2787.8269953384915,296.3826738591754,28.457527812004084,NaN,NaN,0.0,1372.103586755632,1520.0,1243.1,38.27869328252973,20.386046510986944
2025-05-08T15:18:09.878,1.746717489878e9,63882400689878,214.477,CLASSIFIER,-128.0,382.9177252229101,79.92641364796921,DOWNSCAN,2781.4810709135236,-2778.852370169716,295.7428237614323,28.457527812004084,NaN,NaN,0.0,1420.6671632706284,1520.0,1243.1,38.29177252229101,20.350633852388
2025-05-08T15:18:09.987,1.746717489987e9,63882400689987,214.584,CLASSIFIER,-128.0,382.67464878583723,79.92641364796921,DOWNSCAN,2773.0083299792373,-2771.6235649918417,295.10465266445806,28.457527812004084,NaN,NaN,0.0,1459.8190093253177,1520.0,1243.1,38.26746487858372,20.365810706073262
2025-05-08T15:18:10.161,1.746717490161e9,63882400690161,214.692,CLASSIFIER,-128.0,382.82641732268985,79.92641364796921,DOWNSCAN,2764.4562340404805,-2762.206007401346,294.4602465982343,28.461648083686832,NaN,NaN,0.0,2283.720348743593,1560.0,1248.7,38.282641732268985,20.355446025507717
2025-05-08T15:18:10.266,1.746717490266e9,63882400690266,214.868,CLASSIFIER,-128.0,382.3859183986542,79.92641364796921,DOWNSCAN,2750.63284331558,-2755.0648016717787,293.41809261953716,28.461648083686832,NaN,NaN,0.0,835.6046991455211,1560.0,1248.7,38.23859183986542,20.36272597971447
2025-05-08T15:18:10.372,1.746717490372e9,63882400690372,214.974,CLASSIFIER,-128.0,382.8301189943204,79.92641364796921,DOWNSCAN,2742.398238418795,-2740.5467353587483,292.79695364417046,28.461648083686832,NaN,NaN,0.0,1472.5984253977745,1560.0,1248.7,38.28301189943204,20.383208562736854
2025-05-08T15:18:10.478,1.746717490478e9,63882400690478,215.079,CLASSIFIER,-128.0,382.8375223375815,79.92641364796921,DOWNSCAN,2734.1749804022684,-2733.3426060818056,292.17642494740267,28.461648083686832,NaN,NaN,0.0,1374.9469976666303,1560.0,1248.7,38.28375223375815,20.307077516201844
2025-05-08T15:18:10.589,1.746717490589e9,63882400690589,215.185,CLASSIFIER,-128.0,382.9868230933471,79.92641364796921,DOWNSCAN,2725.9815051435758,-2724.448177591057,291.55789793989345,28.461648083686832,NaN,NaN,0.0,1505.2793807850824,1560.0,1248.7,38.29868230933471,20.37420116176918
2025-05-08T15:18:10.697,1.746717490697e9,63882400690697,215.296,CLASSIFIER,-128.0,382.9522741581286,79.92641364796921,DOWNSCAN,2717.3871683566176,-2715.761026668133,290.9088444861473,28.461648083686832,NaN,NaN,0.0,1348.1710800037672,1560.0,1248.7,38.29522741581286,20.38086417070417
2025-05-08T15:18:10.805,1.746717490805e9,63882400690805,215.402,CLASSIFIER,-128.0,382.82765121323337,79.92641364796921,DOWNSCAN,2709.1601738285367,-2708.5741705218425,290.28727690614863,28.461648083686832,NaN,NaN,0.0,1454.7126139305883,1560.0,1248.7,38.28276512132334,20.3899949607262
2025-05-08T15:18:10.913,1.746717490913e9,63882400690913,215.510,CLASSIFIER,-128.0,382.8498612430167,79.92641364796921,DOWNSCAN,2700.8236856415438,-2699.6575337202557,289.6571794779123,28.461648083686832,NaN,NaN,0.0,1465.8616479976397,1560.0,1248.7,38.28498612430167,20.394066799519805
2025-05-08T15:18:11.022,1.746717491022e9,63882400691022,215.618,CLASSIFIER,-128.0,382.78323115366675,79.92641364796921,DOWNSCAN,2692.5352174234886,-2691.207271446274,289.030453001597,28.461648083686832,NaN,NaN,0.0,1348.9590345169047,1560.0,1248.7,38.278323115366675,20.38925462640009
2025-05-08T15:18:11.206,1.746717491206e9,63882400691206,215.727,CLASSIFIER,-128.0,382.7437466562742,79.92641364796921,DOWNSCAN,2684.2536395715197,-2682.316544340665,288.40398832935296,28.4657781124115,NaN,NaN,0.0,2356.4232522664065,1540.0,1252.8,38.27437466562742,20.348783016572725
2025-05-08T15:18:11.312,1.746717491312e9,63882400691312,215.914,CLASSIFIER,-128.0,383.1028088044377,79.92641364796921,DOWNSCAN,2669.9708467232504,-2675.8156782402693,287.3229444902918,28.4657781124115,NaN,NaN,0.0,830.7581105698849,1540.0,1252.8,38.31028088044377,20.350387074279297
2025-05-08T15:18:11.418,1.746717491418e9,63882400691418,216.020,CLASSIFIER,-128.0,382.4340401298514,79.92641364796921,DOWNSCAN,2661.9628699223767,-2661.624567614581,286.7164895505245,28.4657781124115,NaN,NaN,0.0,1526.7246530092875,1540.0,1252.8,38.24340401298514,20.360381587681786
2025-05-08T15:18:11.523,1.746717491523e9,63882400691523,216.125,CLASSIFIER,-128.0,382.82518343214633,79.92641364796921,DOWNSCAN,2653.9725708955275,-2652.7881274910214,286.11112585677296,28.4657781124115,NaN,NaN,0.0,1438.8668661300146,1540.0,1252.8,38.28251834321463,20.390982073161013
2025-05-08T15:18:11.633,1.746717491633e9,63882400691633,216.231,CLASSIFIER,-128.0,382.79803784018895,79.92641364796921,DOWNSCAN,2646.010404368211,-2644.7832652288525,285.50764600336083,28.4657781124115,NaN,NaN,0.0,1422.56394367139,1540.0,1252.8,38.279803784018895,20.401099975617853
2025-05-08T15:18:11.739,1.746717491739e9,63882400691739,216.341,CLASSIFIER,-128.0,382.9522741581286,79.92641364796921,DOWNSCAN,2637.727666483744,-2636.6809331580043,284.87960498361406,28.4657781124115,NaN,NaN,0.0,1383.7433371942222,1540.0,1252.8,38.29522741581286,20.38222145030204
2025-05-08T15:18:11.845,1.746717491845e9,63882400691845,216.446,CLASSIFIER,-128.0,382.7721261387751,79.92641364796921,DOWNSCAN,2629.8397416470484,-2627.835856469119,284.28124889142447,28.4657781124115,NaN,NaN,0.0,1420.0419695349071,1540.0,1252.8,38.27721261387751,20.359641253355676
