v,Dd,zend,Ls1,q,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61
-100,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.275235992554514e-282,-6.951959725723338e-130,6.726275018073791e-52,-1.537841750595202e-6,2.9072264371964608e-6,-1.3693864799472805e-6,1.5002268817487706e-10,6.103812689491963e-5,0.22356740345513648,0.7751474501242798,0.001224107870660592,2.7479864160969845e-10,2.960404129168488e-19,4.235320032190307e-37,6.531027894221411e-73,4.892580065685511e-159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-100,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0721140729495519e-281,-1.668690175399824e-129,1.0174275318809417e-52,-2.306519360275476e-7,4.360451273317982e-7,-2.0538967388184554e-7,4.633218849590411e-10,0.00013189150827693657,0.3147184317466058,0.6849353482943948,0.00021432798098647274,2.8964874060787375e-12,2.813848305193089e-22,4.1431439586995553e-41,6.645136054746186e-78,5.138246575441549e-165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-100,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.284611787313847e-281,1.3724651615309085e-128,-5.0942942309961735e-52,1.2016297226404286e-6,-2.271602941166883e-6,1.0699897185579202e-6,1.3982752522095684e-9,0.0002704270850635326,0.42573707733070654,0.5739770815224109,1.541264704110573e-5,2.781102697555714e-15,6.603675675337639e-27,2.912970378181686e-47,1.4258518066952162e-85,3.3319407681723957e-174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-100,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.033271073762018e-280,9.005234701123689e-128,-4.216649115987154e-52,1.1898628344217274e-6,-2.249253275344409e-6,1.0594624142790885e-6,4.036578301283009e-9,0.0005316272998900515,0.5532572121188032,0.44621083503223463,3.2144052075009694e-7,9.094676883629903e-20,8.364671454507841e-34,1.9444516017835417e-56,5.170750946268555e-97,6.480626821194696e-188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-100,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38844297502485e-279,6.16976546660755e-127,9.191007111105487e-52,-6.773243373806367e-7,1.2810388163088446e-6,-6.034056742397611e-7,1.1166013155972584e-8,0.0010040316067281279,0.6871390848405796,0.31185687092948045,1.1483935458199467e-9,2.4192697598863104e-26,6.259220758916329e-44,6.465659341788571e-70,8.024080778926185e-114,4.618537145038139e-208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-100,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.712030787875966e-278,5.352793781222825e-126,3.311179124621072e-51,7.029291848966273e-7,-1.3265717333012132e-6,6.248533626566739e-7,2.9557619611140333e-8,0.001816539330545501,0.8104464854546745,0.18773694444601377,3.319498801320598e-13,7.068992472904514e-36,1.2502787123705325e-58,1.719372292522294e-89,3.071791731035555e-138,2.498883567823999e-237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-100,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.926521469017086e-277,3.946766490986834e-125,1.8859816383572747e-50,7.981710250492897e-8,-1.4251603419987968e-7,6.712982044301073e-8,7.444204605951238e-8,0.003138242668518806,0.9050226282660424,0.09183905019250493,2.703431676361357e-18,1.469083480423593e-49,9.54262553508029e-80,1.2399043541057902e-117,2.3672730587082176e-173,2.023689650566524e-279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-100,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.475720930433893e-276,2.970289343668126e-124,9.715695060411895e-50,6.307161419888927e-7,-1.1628655841054355e-6,5.47744511723666e-7,1.7776169813952053e-7,0.005175452930785821,0.9611445123325604,0.033679841379885785,1.4220412548584367e-25,6.121000198444163e-69,1.1138716077551512e-109,1.4267501181196926e-157,3.1900722592609212e-223,8.0e-323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-100,2.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0424111182769558e-224,1.3434370666128973e-144,2.503343123156366e-94,1.1440501278868283e-62,5.42137103882785e-42,4.0616256410819166e-27,1.8308989105224547e-18,1.0298586136683958e-11,1.936655916575878e-6,0.007866603881340816,0.4654034216608832,0.523887931749001,0.0028400106359779474,9.539691032026405e-8,9.656643562632252e-12,1.49508295484897e-14,1.0976301320424977e-20,2.9983169904000198e-33,7.628764387206825e-57,1.36728529499449e-90,-5.310387050646591e-136,1.096308527626923e-192,-5.327147319177264e-257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-100,2.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.73563053500062e-223,8.423870549695712e-143,1.0208013843745723e-92,3.049276119212786e-61,9.426800171701349e-41,4.602636170227165e-26,1.3508151002403067e-17,4.943652301988812e-11,6.04382265634418e-6,0.015903253933017707,0.5988962171692471,0.3847089180578049,0.00048564887760220237,-1.2933491804984146e-7,4.0320682902057755e-8,7.104399727890673e-9,7.06129006578574e-14,2.049473290976348e-25,-3.342112526229317e-47,1.6915204305545842e-78,-3.231883646729832e-122,5.346146285004019e-178,-2.07461834377781e-241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
