v,Dd,zend,Ls1,q,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61
100.0,1.0e-8,18.7,6.51,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.27749090538171e-284,-1.6339660397831085e-130,1.0943482626195496e-53,-2.565795268984935e-9,1.3445829341375866e-8,-3.0355435716385135e-8,3.64331048298236e-8,-1.087616324481381e-8,0.005597409744576782,0.8747997593114605,0.11958758149994367,1.5243358945175696e-5,3.5339532626724237e-12,7.831055281194085e-28,1.7438228971187797e-61,1.8549648684037477e-145,1.73e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1.0e-8,18.7,6.51,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.976876308891371e-283,-6.189458070034743e-130,3.573311162292287e-53,-7.241258022154093e-9,3.958050133387877e-8,-9.151351858782657e-8,1.1323098561890835e-7,-6.806055029109711e-8,0.00496082115225424,0.8686802302657941,0.12634183864398046,1.7123937584486613e-5,4.226936684396962e-12,9.987758848311913e-28,2.374761523400856e-61,2.7004042142968823e-145,2.7e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1.0e-8,18.7,6.51,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.706409280814678e-283,-9.569215236454979e-130,3.40982279694477e-53,-7.01560853525002e-9,3.768266160712879e-8,-8.549128853239006e-8,1.0384132806236074e-7,-6.28756337570781e-8,0.004314937906468669,0.8616650049279903,0.13400066259874735,1.940842020716783e-5,5.1276605656419655e-12,1.299035737837579e-27,3.316872038743087e-61,4.056022820623744e-145,4.4e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1.0e-8,18.7,6.51,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.762352730665568e-282,-4.798836881528314e-129,1.225047927965611e-52,-1.5120952381845647e-8,8.528187255813469e-8,-2.0189094550164714e-7,2.5606777852701165e-7,-1.7623362221190673e-7,0.003664232393395883,0.8534939220265805,0.14281965475107886,2.2242718484398256e-5,6.329533106872418e-12,1.7303296125611323e-27,4.77550631280851e-61,6.321223491919215e-145,7.5e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1.0e-8,18.7,6.51,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.350821933967271e-281,-9.243035576999839e-128,1.272278792989053e-51,-6.95396269972385e-8,4.061703859169539e-7,-9.929473377408927e-7,1.2994814547033775e-6,-9.48458884959534e-7,0.0030283479085099754,0.8439874919109189,0.1529586899709359,2.5775495693924668e-5,7.950447904712828e-12,2.3604761950085842e-27,7.088005856538548e-61,1.0224027645928221e-144,1.324e-321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1.0e-8,18.7,6.51,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.645957926085818e-280,-5.480786211152914e-127,3.8299046047462245e-51,-9.923623138599946e-8,5.814996340318531e-7,-1.4261994729955373e-6,1.872936624130628e-6,-1.3751278099778931e-6,0.002418838649698782,0.8326618081385352,0.16488947124371658,3.032808507455292e-5,1.0231313947731595e-11,3.3294553223338076e-27,1.0978670733694845e-60,1.7417362151885917e-144,2.485e-321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1.0e-8,18.7,6.51,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.933063914291319e-280,-3.694306574851908e-127,2.3653084396664632e-51,-1.445325313576747e-7,8.105323597296706e-7,-1.8996195278087947e-6,2.381213992249206e-6,-1.6695862615768147e-6,0.0018596427073040921,0.8191534245126855,0.1789511861533803,3.6268605083292925e-5,1.351591839406063e-11,4.8713004459287045e-27,1.7830305391129854e-60,3.145792121799301e-144,5.0e-321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1.0e-8,18.7,6.51,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.35879513456361e-278,-1.432398988677383e-125,1.8213847188596617e-50,-3.375012806104323e-7,1.9038531560706783e-6,-4.483777604882375e-6,5.642152256586034e-6,-3.969969455853835e-6,0.0013544284839401323,0.8026818534199279,0.19592067067423735,4.429264636156426e-5,1.846162133944221e-11,7.462942231354587e-27,3.071238316240714e-60,6.104200453746742e-144,1.095e-320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1.0e-8,18.7,6.51,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4256547492070939e-276,-1.2843543106435677e-124,6.69479406525844e-50,-5.448993872041437e-7,3.122148128228392e-6,-7.471972364010808e-6,9.559045027231905e-6,-6.84138003708337e-6,0.0009412704855840874,0.7826857688931986,0.21631981894684027,5.531870681919174e-5,2.619079723848394e-11,1.2075877025358088e-26,5.687783135379191e-60,1.2973234136209671e-143,2.6773e-320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1.0e-8,18.7,6.51,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.305283162955106e-274,-4.6943083373766715e-123,5.126707057731433e-49,-6.924046526403108e-7,4.045112699578712e-6,-9.87343184180141e-6,1.2885766098853082e-5,-9.408531347036506e-6,0.0006125283615428144,0.7580809513017106,0.24123860792411547,7.095586283358033e-5,3.884056900391829e-11,2.0806500772587924e-26,1.1429882990233745e-59,3.0493145131407547e-143,7.378e-320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1.0e-8,18.7,6.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0139557585691198e-272,-7.15172690636369e-121,8.744160725790924e-48,-9.148048845746084e-7,5.398277988711476e-6,-1.3306881968839588e-5,1.7535656002038133e-5,-1.2924572239753553e-5,0.0003705685335646032,0.7275643284417076,0.2719753609189335,9.395437003837177e-5,6.085844603035757e-11,3.884158635798218e-26,2.555414482455628e-59,8.194972548753847e-143,2.38965e-319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
